year,state,state_po,county_fips,county_name,dem,rep,total
2020,ALASKA,AK,02007,DISTRICT 7,2215.0,7027.0,9622.0
2020,ALASKA,AK,02008,DISTRICT 8,1953.0,7618.0,9912.0
2020,ALASKA,AK,02009,DISTRICT 9,2769.0,7787.0,10993.0
2020,ALASKA,AK,02010,DISTRICT 10,2727.0,8081.0,11205.0
2020,ALASKA,AK,02011,DISTRICT 11,3130.0,7096.0,10628.0
2020,ALASKA,AK,02012,DISTRICT 12,2957.0,7893.0,11238.0
2020,ALASKA,AK,02013,DISTRICT 13,2666.0,4652.0,7713.0
2020,ALASKA,AK,02014,DISTRICT 14,4261.0,6714.0,11443.0
2020,ALASKA,AK,02015,DISTRICT 15,2622.0,2671.0,5559.0
2020,ALASKA,AK,02016,DISTRICT 16,4274.0,3516.0,8118.0
2020,ALASKA,AK,02017,DISTRICT 17,4136.0,2810.0,7239.0
2020,ALASKA,AK,02018,DISTRICT 18,4681.0,2760.0,7720.0
2020,ALASKA,AK,02019,DISTRICT 19,3118.0,1975.0,5301.0
2020,ALASKA,AK,02020,DISTRICT 20,4881.0,2383.0,7497.0
2020,ALASKA,AK,02021,DISTRICT 21,5414.0,3690.0,9429.0
2020,ALASKA,AK,02022,DISTRICT 22,4553.0,4684.0,9520.0
2020,ALASKA,AK,02023,DISTRICT 23,3810.0,3655.0,7739.0
2020,ALASKA,AK,02024,DISTRICT 24,4736.0,5378.0,10428.0
2020,ALASKA,AK,02025,DISTRICT 25,4600.0,4407.0,9325.0
2020,ALASKA,AK,02026,DISTRICT 26,4558.0,5243.0,10111.0
2020,ALASKA,AK,02027,DISTRICT 27,4844.0,4324.0,9506.0
2020,ALASKA,AK,02028,DISTRICT 28,6264.0,6162.0,12749.0
2020,ALASKA,AK,02029,DISTRICT 29,2985.0,7464.0,10747.0
2020,ALASKA,AK,02030,DISTRICT 30,2638.0,7180.0,10176.0
2020,ALASKA,AK,02031,DISTRICT 31,5037.0,6971.0,12410.0
2020,ALASKA,AK,02032,DISTRICT 32,3506.0,4440.0,8335.0
2020,ALASKA,AK,02033,DISTRICT 33,7535.0,3059.0,10955.0
2020,ALASKA,AK,02034,DISTRICT 34,5763.0,4543.0,10729.0
2020,ALASKA,AK,02035,DISTRICT 35,5011.0,4769.0,10102.0
2020,ALASKA,AK,02036,DISTRICT 36,3796.0,5114.0,9292.0
2020,ALASKA,AK,02037,DISTRICT 37,2560.0,2358.0,5142.0
2020,ALASKA,AK,02038,DISTRICT 38,3202.0,1737.0,5299.0
2020,ALASKA,AK,02039,DISTRICT 39,3580.0,1939.0,5891.0
2020,ALASKA,AK,02040,DISTRICT 40,2318.0,1994.0,4603.0
2020,ALASKA,AK,02099,DISTRICT 99,373.0,59.0,433.0
2020,ARIZONA,AZ,04001,APACHE,23293.0,11442.0,35172.0
2020,ARIZONA,AZ,04003,COCHISE,23732.0,35557.0,60442.0
2020,ARIZONA,AZ,04005,COCONINO,44698.0,27052.0,73272.0
2020,ARIZONA,AZ,04007,GILA,8943.0,18377.0,27662.0
2020,ARIZONA,AZ,04009,GRAHAM,4034.0,10749.0,14995.0
2020,ARIZONA,AZ,04011,GREENLEE,1182.0,2433.0,3685.0
2020,ARIZONA,AZ,04012,LA PAZ,2236.0,5129.0,7458.0
2020,ARIZONA,AZ,04013,MARICOPA,1040774.0,995665.0,2068144.0
2020,ARIZONA,AZ,04015,MOHAVE,24831.0,78535.0,104668.0
2020,ARIZONA,AZ,04017,NAVAJO,23383.0,27657.0,51767.0
2020,ARIZONA,AZ,04019,PIMA,304981.0,207758.0,520397.0
2020,ARIZONA,AZ,04021,PINAL,75106.0,107077.0,184974.0
2020,ARIZONA,AZ,04023,SANTA CRUZ,13138.0,6194.0,19556.0
2020,ARIZONA,AZ,04025,YAVAPAI,49602.0,91527.0,143221.0
2020,ARIZONA,AZ,04027,YUMA,32210.0,36534.0,69881.0
2020,ARKANSAS,AR,05001,ARKANSAS,1818.0,4304.0,6292.0
2020,ARKANSAS,AR,05003,ASHLEY,2125.0,5548.0,7926.0
2020,ARKANSAS,AR,05005,BAXTER,4635.0,15836.0,21007.0
2020,ARKANSAS,AR,05007,BENTON,42249.0,73965.0,119912.0
2020,ARKANSAS,AR,05009,BOONE,3064.0,13652.0,17114.0
2020,ARKANSAS,AR,05011,BRADLEY,1214.0,2335.0,3654.0
2020,ARKANSAS,AR,05013,CALHOUN,479.0,1636.0,2182.0
2020,ARKANSAS,AR,05015,CARROLL,4023.0,7424.0,11797.0
2020,ARKANSAS,AR,05017,CHICOT,2260.0,1752.0,4103.0
2020,ARKANSAS,AR,05019,CLARK,3438.0,4616.0,8395.0
2020,ARKANSAS,AR,05021,CLAY,962.0,4086.0,5183.0
2020,ARKANSAS,AR,05023,CLEBURNE,1988.0,10328.0,12680.0
2020,ARKANSAS,AR,05025,CLEVELAND,651.0,2867.0,3600.0
2020,ARKANSAS,AR,05027,COLUMBIA,2814.0,5500.0,8616.0
2020,ARKANSAS,AR,05029,CONWAY,2615.0,5694.0,8685.0
2020,ARKANSAS,AR,05031,CRAIGHEAD,11921.0,25558.0,38511.0
2020,ARKANSAS,AR,05033,CRAWFORD,4959.0,18607.0,24091.0
2020,ARKANSAS,AR,05035,CRITTENDEN,8514.0,7333.0,16367.0
2020,ARKANSAS,AR,05037,CROSS,1772.0,4946.0,6942.0
2020,ARKANSAS,AR,05039,DALLAS,963.0,1573.0,2649.0
2020,ARKANSAS,AR,05041,DESHA,2016.0,1921.0,4164.0
2020,ARKANSAS,AR,05043,DREW,2426.0,4349.0,6908.0
2020,ARKANSAS,AR,05045,FAULKNER,18347.0,34421.0,54428.0
2020,ARKANSAS,AR,05047,FRANKLIN,1300.0,5677.0,7129.0
2020,ARKANSAS,AR,05049,FULTON,1035.0,3961.0,5119.0
2020,ARKANSAS,AR,05051,GARLAND,14045.0,29069.0,44199.0
2020,ARKANSAS,AR,05053,GRANT,1268.0,6794.0,8200.0
2020,ARKANSAS,AR,05055,GREENE,3058.0,12670.0,16100.0
2020,ARKANSAS,AR,05057,HEMPSTEAD,2138.0,4470.0,6848.0
2020,ARKANSAS,AR,05059,HOT SPRING,3082.0,9202.0,12557.0
2020,ARKANSAS,AR,05061,HOWARD,1340.0,3367.0,4834.0
2020,ARKANSAS,AR,05063,INDEPENDENCE,2806.0,11250.0,14512.0
2020,ARKANSAS,AR,05065,IZARD,1021.0,4631.0,5810.0
2020,ARKANSAS,AR,05067,JACKSON,1365.0,3593.0,5091.0
2020,ARKANSAS,AR,05069,JEFFERSON,14981.0,9521.0,25158.0
2020,ARKANSAS,AR,05071,JOHNSON,2283.0,6938.0,9498.0
2020,ARKANSAS,AR,05073,LAFAYETTE,839.0,1757.0,2679.0
2020,ARKANSAS,AR,05075,LAWRENCE,1080.0,4569.0,5857.0
2020,ARKANSAS,AR,05077,LEE,1423.0,1286.0,2848.0
2020,ARKANSAS,AR,05079,LINCOLN,1032.0,2729.0,3875.0
2020,ARKANSAS,AR,05081,LITTLE RIVER,1226.0,3715.0,5177.0
2020,ARKANSAS,AR,05083,LOGAN,1544.0,6441.0,8225.0
2020,ARKANSAS,AR,05085,LONOKE,6686.0,22884.0,30662.0
2020,ARKANSAS,AR,05087,MADISON,1563.0,5658.0,7351.0
2020,ARKANSAS,AR,05089,MARION,1531.0,5783.0,7503.0
2020,ARKANSAS,AR,05091,MILLER,4245.0,11920.0,16529.0
2020,ARKANSAS,AR,05093,MISSISSIPPI,4558.0,7296.0,12342.0
2020,ARKANSAS,AR,05095,MONROE,1147.0,1545.0,2816.0
2020,ARKANSAS,AR,05097,MONTGOMERY,731.0,3046.0,3873.0
2020,ARKANSAS,AR,05099,NEVADA,1076.0,2133.0,3358.0
2020,ARKANSAS,AR,05101,NEWTON,709.0,3192.0,3998.0
2020,ARKANSAS,AR,05103,OUACHITA,3995.0,5294.0,9629.0
2020,ARKANSAS,AR,05105,PERRY,1012.0,3479.0,4627.0
2020,ARKANSAS,AR,05107,PHILLIPS,3623.0,2417.0,6242.0
2020,ARKANSAS,AR,05109,PIKE,644.0,3519.0,4246.0
2020,ARKANSAS,AR,05111,POINSETT,1424.0,5918.0,7521.0
2020,ARKANSAS,AR,05113,POLK,1246.0,7035.0,8490.0
