year,state,state_po,county_fips,county_name,dem,rep,total
2016,ARIZONA,AZ,04012,LA PAZ,1575.0,4003.0,5951.0
2016,ARIZONA,AZ,04013,MARICOPA,702907.0,747361.0,1567834.0
2016,ARIZONA,AZ,04015,MOHAVE,17455.0,58282.0,79943.0
2016,ARIZONA,AZ,04017,NAVAJO,16459.0,20577.0,40294.0
2016,ARIZONA,AZ,04019,PIMA,224661.0,167428.0,421640.0
2016,ARIZONA,AZ,04021,PINAL,47892.0,72819.0,129546.0
2016,ARIZONA,AZ,04023,SANTA CRUZ,11690.0,3897.0,16433.0
2016,ARIZONA,AZ,04025,YAVAPAI,35590.0,71330.0,114450.0
2016,ARIZONA,AZ,04027,YUMA,24605.0,25165.0,53010.0
2016,ARKANSAS,AR,05001,ARKANSAS,1939.0,3826.0,6212.0
2016,ARKANSAS,AR,05003,ASHLEY,2408.0,5338.0,8083.0
2016,ARKANSAS,AR,05005,BAXTER,4169.0,14682.0,19766.0
2016,ARKANSAS,AR,05007,BENTON,28005.0,60871.0,96824.0
2016,ARKANSAS,AR,05009,BOONE,2926.0,12235.0,16111.0
2016,ARKANSAS,AR,05011,BRADLEY,1317.0,2164.0,3653.0
2016,ARKANSAS,AR,05013,CALHOUN,639.0,1556.0,2269.0
2016,ARKANSAS,AR,05015,CARROLL,3342.0,6786.0,10758.0
2016,ARKANSAS,AR,05017,CHICOT,2350.0,1716.0,4176.0
2016,ARKANSAS,AR,05019,CLARK,3620.0,4404.0,8526.0
2016,ARKANSAS,AR,05021,CLAY,1199.0,3781.0,5200.0
2016,ARKANSAS,AR,05023,CLEBURNE,2101.0,9458.0,12085.0
2016,ARKANSAS,AR,05025,CLEVELAND,723.0,2462.0,3354.0
2016,ARKANSAS,AR,05027,COLUMBIA,3140.0,5456.0,8887.0
2016,ARKANSAS,AR,05029,CONWAY,2656.0,4849.0,7927.0
2016,ARKANSAS,AR,05031,CRAIGHEAD,10538.0,22892.0,35573.0
2016,ARKANSAS,AR,05033,CRAWFORD,4488.0,16686.0,22450.0
2016,ARKANSAS,AR,05035,CRITTENDEN,8410.0,6964.0,15952.0
2016,ARKANSAS,AR,05037,CROSS,1999.0,4584.0,6874.0
2016,ARKANSAS,AR,05039,DALLAS,1165.0,1509.0,2771.0
2016,ARKANSAS,AR,05041,DESHA,2228.0,1919.0,4257.0
2016,ARKANSAS,AR,05043,DREW,2365.0,3968.0,6595.0
2016,ARKANSAS,AR,05045,FAULKNER,14629.0,29346.0,47527.0
2016,ARKANSAS,AR,05047,FRANKLIN,1376.0,5039.0,6770.0
2016,ARKANSAS,AR,05049,FULTON,1067.0,3471.0,4772.0
2016,ARKANSAS,AR,05051,GARLAND,12311.0,26087.0,40805.0
2016,ARKANSAS,AR,05053,GRANT,1373.0,5725.0,7445.0
2016,ARKANSAS,AR,05055,GREENE,3071.0,10720.0,14600.0
2016,ARKANSAS,AR,05057,HEMPSTEAD,2377.0,4401.0,7049.0
2016,ARKANSAS,AR,05059,HOT SPRING,3149.0,8172.0,11944.0
2016,ARKANSAS,AR,05061,HOWARD,1351.0,3157.0,4674.0
2016,ARKANSAS,AR,05063,INDEPENDENCE,2881.0,9936.0,13614.0
2016,ARKANSAS,AR,05065,IZARD,1113.0,4042.0,5448.0
2016,ARKANSAS,AR,05067,JACKSON,1583.0,3267.0,5156.0
2016,ARKANSAS,AR,05069,JEFFERSON,15772.0,9250.0,25894.0
2016,ARKANSAS,AR,05071,JOHNSON,2427.0,6091.0,9112.0
2016,ARKANSAS,AR,05073,LAFAYETTE,1032.0,1758.0,2860.0
2016,ARKANSAS,AR,05075,LAWRENCE,1263.0,4064.0,5685.0
2016,ARKANSAS,AR,05077,LEE,1735.0,1229.0,3026.0
2016,ARKANSAS,AR,05079,LINCOLN,1252.0,2455.0,3826.0
2016,ARKANSAS,AR,05081,LITTLE RIVER,1397.0,3605.0,5227.0
2016,ARKANSAS,AR,05083,LOGAN,1715.0,5746.0,7921.0
2016,ARKANSAS,AR,05085,LONOKE,5664.0,19958.0,27100.0
2016,ARKANSAS,AR,05087,MADISON,1588.0,4928.0,6841.0
2016,ARKANSAS,AR,05089,MARION,1434.0,5336.0,7107.0
2016,ARKANSAS,AR,05091,MILLER,4273.0,11294.0,16091.0
2016,ARKANSAS,AR,05093,MISSISSIPPI,5670.0,7061.0,13204.0
2016,ARKANSAS,AR,05095,MONROE,1312.0,1489.0,2884.0
2016,ARKANSAS,AR,05097,MONTGOMERY,748.0,2643.0,3559.0
2016,ARKANSAS,AR,05099,NEVADA,1157.0,2000.0,3246.0
2016,ARKANSAS,AR,05101,NEWTON,699.0,2875.0,3753.0
2016,ARKANSAS,AR,05103,OUACHITA,4321.0,5351.0,9935.0
2016,ARKANSAS,AR,05105,PERRY,1049.0,3008.0,4306.0
2016,ARKANSAS,AR,05107,PHILLIPS,4310.0,2446.0,6953.0
2016,ARKANSAS,AR,05109,PIKE,685.0,3150.0,3981.0
2016,ARKANSAS,AR,05111,POINSETT,1880.0,5502.0,7722.0
2016,ARKANSAS,AR,05113,POLK,1212.0,6618.0,8231.0
2016,ARKANSAS,AR,05115,POPE,5000.0,16256.0,22569.0
2016,ARKANSAS,AR,05117,PRAIRIE,814.0,2505.0,3444.0
2016,ARKANSAS,AR,05119,PULASKI,89574.0,61257.0,159776.0
2016,ARKANSAS,AR,05121,RANDOLPH,1425.0,4509.0,6379.0
2016,ARKANSAS,AR,05123,ST. FRANCIS,4031.0,3195.0,7430.0
2016,ARKANSAS,AR,05125,SALINE,13256.0,35863.0,52100.0
2016,ARKANSAS,AR,05127,SCOTT,602.0,2731.0,3510.0
2016,ARKANSAS,AR,05129,SEARCY,601.0,2955.0,3728.0
2016,ARKANSAS,AR,05131,SEBASTIAN,12300.0,29127.0,44637.0
2016,ARKANSAS,AR,05133,SEVIER,1075.0,3282.0,4562.0
2016,ARKANSAS,AR,05135,SHARP,1472.0,5407.0,7249.0
2016,ARKANSAS,AR,05137,STONE,1203.0,4113.0,5618.0
2016,ARKANSAS,AR,05139,UNION,5855.0,10456.0,16894.0
2016,ARKANSAS,AR,05141,VAN BUREN,1549.0,5382.0,7339.0
2016,ARKANSAS,AR,05143,WASHINGTON,33366.0,41476.0,81861.0
2016,ARKANSAS,AR,05145,WHITE,5170.0,21077.0,27219.0
2016,ARKANSAS,AR,05147,WOODRUFF,1118.0,1347.0,2571.0
2016,ARKANSAS,AR,05149,YELL,1480.0,4608.0,6439.0
2016,CALIFORNIA,CA,06001,ALAMEDA,514842.0,95922.0,654266.0
2016,CALIFORNIA,CA,06003,ALPINE,334.0,217.0,602.0
2016,CALIFORNIA,CA,06005,AMADOR,6004.0,10485.0,17734.0
2016,CALIFORNIA,CA,06007,BUTTE,41567.0,45144.0,95564.0
2016,CALIFORNIA,CA,06009,CALAVERAS,7944.0,13511.0,23136.0
2016,CALIFORNIA,CA,06011,COLUSA,2661.0,3551.0,6632.0
